cluster_0_name	cluster_1_name	cluster_2_name	cluster_3_name	cluster_4_name	cluster_5_name	cluster_6_name	cluster_7_name
GENERAL PROVISIONS	ACTS AND RESOLUTIONS; FORMALITIES OF ENACTMENT; REPEALS; SEALING OF INSTRUMENTS	Sealing of instruments					
GENERAL PROVISIONS	ACTS AND RESOLUTIONS; FORMALITIES OF ENACTMENT; REPEALS; SEALING OF INSTRUMENTS	"""Little and Brown's"" edition of laws and treaties; slip laws; Treaties and Other International Acts Series; admissibility in evidence"					
GENERAL PROVISIONS	ACTS AND RESOLUTIONS; FORMALITIES OF ENACTMENT; REPEALS; SEALING OF INSTRUMENTS	United States international agreements and non-binding instruments; transparency provisions					
GENERAL PROVISIONS	ACTS AND RESOLUTIONS; FORMALITIES OF ENACTMENT; REPEALS; SEALING OF INSTRUMENTS	United States Treaties and Other International Agreements; contents; admissibility in evidence					
GENERAL PROVISIONS	ACTS AND RESOLUTIONS; FORMALITIES OF ENACTMENT; REPEALS; SEALING OF INSTRUMENTS	Statutes at Large; contents; admissibility in evidence					
GENERAL PROVISIONS	ACTS AND RESOLUTIONS; FORMALITIES OF ENACTMENT; REPEALS; SEALING OF INSTRUMENTS	Repeals as evidence of prior effectiveness					
GENERAL PROVISIONS	ACTS AND RESOLUTIONS; FORMALITIES OF ENACTMENT; REPEALS; SEALING OF INSTRUMENTS	Saving clause of Revised Statutes					
GENERAL PROVISIONS	ACTS AND RESOLUTIONS; FORMALITIES OF ENACTMENT; REPEALS; SEALING OF INSTRUMENTS	Repeal of statutes as affecting existing liabilities					
GENERAL PROVISIONS	ACTS AND RESOLUTIONS; FORMALITIES OF ENACTMENT; REPEALS; SEALING OF INSTRUMENTS	Repeal of repealing act					
GENERAL PROVISIONS	ACTS AND RESOLUTIONS; FORMALITIES OF ENACTMENT; REPEALS; SEALING OF INSTRUMENTS	Parchment or paper for printing enrolled bills or resolutions					
GENERAL PROVISIONS	ACTS AND RESOLUTIONS; FORMALITIES OF ENACTMENT; REPEALS; SEALING OF INSTRUMENTS	Amendments to Constitution					
GENERAL PROVISIONS	ACTS AND RESOLUTIONS; FORMALITIES OF ENACTMENT; REPEALS; SEALING OF INSTRUMENTS	Promulgation of laws					
GENERAL PROVISIONS	ACTS AND RESOLUTIONS; FORMALITIES OF ENACTMENT; REPEALS; SEALING OF INSTRUMENTS	Printing bills and joint resolutions					
GENERAL PROVISIONS	ACTS AND RESOLUTIONS; FORMALITIES OF ENACTMENT; REPEALS; SEALING OF INSTRUMENTS	Title of appropriation Acts					
GENERAL PROVISIONS	ACTS AND RESOLUTIONS; FORMALITIES OF ENACTMENT; REPEALS; SEALING OF INSTRUMENTS	Numbering of sections; single proposition					
GENERAL PROVISIONS	ACTS AND RESOLUTIONS; FORMALITIES OF ENACTMENT; REPEALS; SEALING OF INSTRUMENTS	Enacting or resolving words after first section					
GENERAL PROVISIONS	ACTS AND RESOLUTIONS; FORMALITIES OF ENACTMENT; REPEALS; SEALING OF INSTRUMENTS	Resolving clause					
GENERAL PROVISIONS	ACTS AND RESOLUTIONS; FORMALITIES OF ENACTMENT; REPEALS; SEALING OF INSTRUMENTS	Enacting clause					
GENERAL PROVISIONS	RULES OF CONSTRUCTION	"""Person"", ""human being"", ""child"", and ""individual"" as including born-alive infant"					
GENERAL PROVISIONS	RULES OF CONSTRUCTION	Marriage					
GENERAL PROVISIONS	RULES OF CONSTRUCTION	"Limitation of term ""products of American fisheries"""					
GENERAL PROVISIONS	RULES OF CONSTRUCTION	"""Company"" or ""association"" as including successors and assigns"					
GENERAL PROVISIONS	RULES OF CONSTRUCTION	"""Vehicle"" as including all means of land transportation"					
GENERAL PROVISIONS	RULES OF CONSTRUCTION	"""Vessel"" as including all means of water transportation"					
GENERAL PROVISIONS	RULES OF CONSTRUCTION	"""County"" as including ""parish"", and so forth"					
GENERAL PROVISIONS	RULES OF CONSTRUCTION	Words denoting number, gender, and so forth					
THE CONGRESS	OFFICE OF SENATE LEGAL COUNSEL	Travel and related expenses					
THE CONGRESS	OFFICE OF SENATE LEGAL COUNSEL	Contingent fund					
THE CONGRESS	OFFICE OF SENATE LEGAL COUNSEL	Procedural provisions					
THE CONGRESS	OFFICE OF SENATE LEGAL COUNSEL	Attorney General relieved of responsibility					
THE CONGRESS	OFFICE OF SENATE LEGAL COUNSEL	Consideration of resolutions to direct counsel					
THE CONGRESS	OFFICE OF SENATE LEGAL COUNSEL	Representation conflict or inconsistency					
THE CONGRESS	OFFICE OF SENATE LEGAL COUNSEL	Defense of certain constitutional powers					
THE CONGRESS	OFFICE OF SENATE LEGAL COUNSEL	Advisory and other functions					
THE CONGRESS	OFFICE OF SENATE LEGAL COUNSEL	Immunity proceedings					
THE CONGRESS	OFFICE OF SENATE LEGAL COUNSEL	Intervention or appearance					
THE CONGRESS	OFFICE OF SENATE LEGAL COUNSEL	Enforcement of Senate subpena or order					
THE CONGRESS	OFFICE OF SENATE LEGAL COUNSEL	Defending the Senate, committee, subcommittee, member, officer, or employee of Senate					
THE CONGRESS	OFFICE OF SENATE LEGAL COUNSEL	Requirements for authorizing representation activity					
THE CONGRESS	OFFICE OF SENATE LEGAL COUNSEL	Senate Joint Leadership Group					
THE CONGRESS	OFFICE OF SENATE LEGAL COUNSEL	Office of Senate Legal Counsel					
THE CONGRESS	OFFICE OF PARLIAMENTARIAN OF HOUSE OF REPRESENTATIVES	Expenditures					
THE CONGRESS	OFFICE OF PARLIAMENTARIAN OF HOUSE OF REPRESENTATIVES	Compensation					
THE CONGRESS	OFFICE OF PARLIAMENTARIAN OF HOUSE OF REPRESENTATIVES	Staff; Deputy Parliamentarian; delegation of functions					
THE CONGRESS	OFFICE OF PARLIAMENTARIAN OF HOUSE OF REPRESENTATIVES	Parliamentarian					
THE CONGRESS	OFFICE OF PARLIAMENTARIAN OF HOUSE OF REPRESENTATIVES	Establishment					
THE CONGRESS	OFFICE OF LAW REVISION COUNSEL	Availability of applicable accounts of House					
THE CONGRESS	OFFICE OF LAW REVISION COUNSEL	Expenditures					
THE CONGRESS	OFFICE OF LAW REVISION COUNSEL	Compensation					
THE CONGRESS	OFFICE OF LAW REVISION COUNSEL	Staff; Deputy Law Revision Counsel; delegation of functions					
THE CONGRESS	OFFICE OF LAW REVISION COUNSEL	Law Revision Counsel					
THE CONGRESS	OFFICE OF LAW REVISION COUNSEL	Functions					
THE CONGRESS	OFFICE OF LAW REVISION COUNSEL	Purpose and policy					
THE CONGRESS	OFFICE OF LAW REVISION COUNSEL	Establishment					
THE CONGRESS	OFFICE OF LEGISLATIVE COUNSEL	HOUSE OF REPRESENTATIVES	Administration	Authorization of appropriations			
THE CONGRESS	OFFICE OF LEGISLATIVE COUNSEL	HOUSE OF REPRESENTATIVES	Administration	Official mail matter			
THE CONGRESS	OFFICE OF LEGISLATIVE COUNSEL	HOUSE OF REPRESENTATIVES	Administration	Expenditures			
THE CONGRESS	OFFICE OF LEGISLATIVE COUNSEL	HOUSE OF REPRESENTATIVES	Administration	Compensation			
THE CONGRESS	OFFICE OF LEGISLATIVE COUNSEL	HOUSE OF REPRESENTATIVES	Administration	Staff; Deputy Legislative Counsel; delegation of functions			
THE CONGRESS	OFFICE OF LEGISLATIVE COUNSEL	HOUSE OF REPRESENTATIVES	Administration	Legislative Counsel			
THE CONGRESS	OFFICE OF LEGISLATIVE COUNSEL	HOUSE OF REPRESENTATIVES	Purpose, Policy, and Function	Functions			
THE CONGRESS	OFFICE OF LEGISLATIVE COUNSEL	HOUSE OF REPRESENTATIVES	Purpose, Policy, and Function	Purpose and policy			
THE CONGRESS	OFFICE OF LEGISLATIVE COUNSEL	HOUSE OF REPRESENTATIVES	Purpose, Policy, and Function	Establishment			
THE CONGRESS	OFFICE OF LEGISLATIVE COUNSEL	SENATE	Travel and related expenses				
THE CONGRESS	OFFICE OF LEGISLATIVE COUNSEL	SENATE	Expenditures				
THE CONGRESS	OFFICE OF LEGISLATIVE COUNSEL	SENATE	Disbursement of appropriations				
THE CONGRESS	OFFICE OF LEGISLATIVE COUNSEL	SENATE	Functions				
THE CONGRESS	OFFICE OF LEGISLATIVE COUNSEL	SENATE	Staff; office equipment and supplies				
THE CONGRESS	OFFICE OF LEGISLATIVE COUNSEL	SENATE	Compensation				
THE CONGRESS	OFFICE OF LEGISLATIVE COUNSEL	SENATE	Legislative Counsel				
THE CONGRESS	OFFICE OF LEGISLATIVE COUNSEL	SENATE	Establishment				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	CHAPLAIN	Payment of expenses of the Chaplain of the Senate from the contingent fund of the Senate				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	CHAPLAIN	Postage allowance for Chaplain of Senate				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	CHAPLAIN	Compensation of employees of Chaplain of Senate				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Senate Computer Center			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Office of Senate Health Promotion			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Senate Hair Care Services			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Media support services			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Disposal of used or surplus automobiles and trucks by Sergeant at Arms and Doorkeeper of Senate; procedure; deposit of receipts			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Transfer of excess or surplus educationally useful equipment to public schools			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Disposal of used or surplus furniture and equipment by Sergeant at Arms and Doorkeeper of Senate; procedure; deposit of receipts			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Purchase, lease, exchange, maintenance, and operation of vehicles out of account for Sergeant at Arms and Doorkeeper of Senate within Senate contingent fund; authorization of appropriations			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Treatment of electronic services provided by Sergeant at Arms			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Compensation for lost or damaged property			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Reimbursements to Sergeant at Arms and Doorkeeper of Senate for equipment provided to Senators, etc., which has been lost, stolen, damaged, or otherwise unaccounted for; deposit of receipts			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Receipts from sales of items by Sergeant at Arms and Doorkeeper of Senate, to Senators, etc., to be credited to appropriation from which purchased			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	"Metered charges on copiers; ""Sergeant at Arms"" and ""user"" defined; certification of services and equipment as official; deposit of payments; availability for expenditure"			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Report on telecommunications to Committee on Rules and Administration			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Certification of telecommunications equipment and services as official			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Payment for telecommunications equipment and services; definitions			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Provision of services and equipment on a reimbursable basis			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Advance payments for computer programing services			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Data processing equipment, software, and services			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Law enforcement authority of Sergeant-at-Arms and Doorkeeper of the Senate			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Support services for Senate during emergency; memorandum of understanding with an executive agency			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	"Deposit of moneys for credit to account within Senate contingent fund for ""Sergeant at Arms and Doorkeeper of the Senate"""			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Funds advanced by Secretary of Senate to Sergeant at Arms and Doorkeeper of Senate to defray office expenses; accountability; maximum amount; vouchers			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Advances to Sergeant at Arms of Senate for extraordinary expenses			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Travel expenses of Sergeant at Arms and Doorkeeper of Senate			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	General Powers and Duties	Transfer authority and Sergeant at Arms Business Continuity and Disaster Recovery Fund			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	Organization and Personnel	Use by Sergeant at Arms and Doorkeeper of Senate of individual consultants or organizations, and department and agency personnel			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	Organization and Personnel	Designation by Sergeant at Arms and Doorkeeper of Senate of persons to approve vouchers for payment of moneys			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	Organization and Personnel	Abolition of statutory positions in Office of Sergeant at Arms and Doorkeeper of Senate; authority to establish and fix compensation for positions			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	Organization and Personnel	Employment of personnel by Sergeant at Arms and Doorkeeper of Senate at daily rates of compensation; authorization; limitation on amount of compensation			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	Organization and Personnel	Compensation of Administrative Assistant to Sergeant at Arms and Doorkeeper of Senate			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	Organization and Personnel	Compensation of Deputy Sergeant at Arms and Doorkeeper of Senate			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	Organization and Personnel	Deputy Sergeant at Arms and Doorkeeper to act on death, resignation, disability, or absence of Sergeant at Arms and Doorkeeper of Senate			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SERGEANT AT ARMS AND DOORKEEPER OF SENATE	Organization and Personnel	Limitation on compensation of Sergeant at Arms and Doorkeeper of Senate			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	General Powers and Duties	Senate Leader's Lecture Series			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	General Powers and Duties	Senate legislative information system			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	General Powers and Duties	Senate Gift Shop			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	General Powers and Duties	Fees for copies from Senate journals			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	General Powers and Duties	Senate Office of Public Records Revolving Fund			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	General Powers and Duties	Senate revolving fund for stationery allowances; availability of unexpended balances; withdrawals			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	General Powers and Duties	Purchases of stationery and materials for folding			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	General Powers and Duties	Banking and financial transactions of Secretary of Senate			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	General Powers and Duties	Funds for Secretary of Senate to assist in proper discharge within United States of responsibilities to foreign parliamentary groups or other foreign officials			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	General Powers and Duties	Authority to procure technical support and other services and incur travel expenses; payment of such expenses			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	General Powers and Duties	Advancement by Secretary of Senate of travel funds to employees under his jurisdiction for Federal Election Campaign Act travel expenses			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	General Powers and Duties	Travel expenses of Secretary of Senate; advancement of travel funds to designated employees			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	General Powers and Duties	Payment of certain expenses			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	General Powers and Duties	Transfers of funds by Secretary of Senate; approval of Committee on Appropriations			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	General Powers and Duties	Advance payments by Secretary of Senate			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	Organization and Personnel	Substitute reporters of debates and expert transcribers; temporary reporters of debates and expert transcribers; payments from Senate contingent fund			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	Organization and Personnel	Designation of reporters			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	Organization and Personnel	Employees of Senate Disbursing Office; designation by Secretary of Senate to administer oaths and affirmations			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	Organization and Personnel	Professional archivist; Secretary's authority to obtain services from General Services Administration			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	Organization and Personnel	Adjustment of rate of compensation by Secretary of Senate			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	Organization and Personnel	Abolition of statutory positions in Office of Secretary of Senate; Secretary's authority to establish and fix compensation for positions			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	Organization and Personnel	Employment of additional administrative assistants			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	Organization and Personnel	Compensation of Financial Clerk of Senate			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	Organization and Personnel	Compensation of Parliamentarian of Senate			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	Organization and Personnel	Compensation of Assistant Secretary of Senate			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	Organization and Personnel	Death, resignation, or disability of Secretary of Senate; Assistant Secretary of Senate to act as Secretary; written designation of absent status			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	SECRETARY OF THE SENATE	Organization and Personnel	Death, resignation, or disability of Secretary and Assistant Secretary of Senate; Financial Clerk deemed successor as disbursing officer			
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	GENERAL	McCain-Mansfield and SFC Sean Cooley and SPC Christopher Horton Congressional Gold Star Family Fellowships Programs				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	GENERAL	Workers compensation payments				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	GENERAL	Receipts from sale of used or surplus furniture and furnishings of Senate				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	GENERAL	Sale of waste paper and condemned furniture				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	GENERAL	Payment of fees for services of Attending Physician and for use of Senate health and fitness facilities				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	GENERAL	Orientation seminars, etc., for new Senators, Senate officials, or members of staffs of Senators or Senate officials; payment of expenses				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	GENERAL	Per diem and subsistence expenses from Senate contingent fund				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	GENERAL	Expense allowance for Secretary of Senate, Sergeant at Arms and Doorkeeper of Senate, and Secretaries for Senate Majority and Minority				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	GENERAL	Liquidation from appropriations of any unpaid obligations chargeable to rescinded unexpended balances of funds				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	GENERAL	Materials, supplies, and fuel payments from Senate contingent fund				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	GENERAL	Vouchering Senate office charges				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	GENERAL	Transfers from appropriations account for expenses of Office of Secretary of Senate and Office of Sergeant at Arms and Doorkeeper of Senate				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	GENERAL	Insurance of office funds of Secretary of Senate and Sergeant at Arms; payment of premiums				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	GENERAL	"Separate accounts for ""Secretary of the Senate"" and for ""Sergeant at Arms and Doorkeeper of the Senate""; establishment within Senate contingent fund; inclusion of funds in existing accounts"				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	GENERAL	Appropriations for contingent expenses of Senate; restrictions				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	GENERAL	Committee on Rules and Administration; designation of employees to approve vouchers for payments from Senate contingent fund				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	GENERAL	Payments from Senate contingent fund				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	GENERAL	Procurement of temporary help				
THE CONGRESS	SENATE OFFICERS AND ADMINISTRATION	GENERAL	Appointment of consultants by Majority Leader, Minority Leader, Secretary of Senate, and Legislative Counsel of Senate; compensation				
THE CONGRESS	SENATE MEMBERS	EMPLOYEES, EXPENSES, AND ALLOWANCES	Purchase of office equipment or furnishings by Senators				
THE CONGRESS	SENATE MEMBERS	EMPLOYEES, EXPENSES, AND ALLOWANCES	Transportation of official records and papers to a Senator's State				
THE CONGRESS	SENATE MEMBERS	EMPLOYEES, EXPENSES, AND ALLOWANCES	Additional home State office space for Senators; declaration of disaster or emergency				
THE CONGRESS	SENATE MEMBERS	EMPLOYEES, EXPENSES, AND ALLOWANCES	Home State office space for Senators; lease of office space				
THE CONGRESS	SENATE MEMBERS	EMPLOYEES, EXPENSES, AND ALLOWANCES	United States Code Annotated or United States Code Service; procurement for Senators				
THE CONGRESS	SENATE MEMBERS	EMPLOYEES, EXPENSES, AND ALLOWANCES	Telecommunications services for Senators; payment of costs out of contingent fund				
THE CONGRESS	SENATE MEMBERS	EMPLOYEES, EXPENSES, AND ALLOWANCES	Mail, telegraph, telephone, stationery, office supplies, and home State office and travel expenses for Senators				
THE CONGRESS	SENATE MEMBERS	EMPLOYEES, EXPENSES, AND ALLOWANCES	Senators' Official Personnel and Office Expense Account				
THE CONGRESS	SENATE MEMBERS	EMPLOYEES, EXPENSES, AND ALLOWANCES	Clerks to Senators-elect				
THE CONGRESS	SENATE MEMBERS	EMPLOYEES, EXPENSES, AND ALLOWANCES	Organizational expenses of Senator-elect				
THE CONGRESS	SENATE MEMBERS	MEMBER PAY	Salaries of Senators				
THE CONGRESS	SENATE MEMBERS	MEMBER PAY	Senators' salaries				
THE CONGRESS	SENATE LEADERSHIP	MAJORITY AND MINORITY SECRETARIES, CONFERENCES, AND POLICY COMMITTEES	Expense allowance for Chairmen of Majority and Minority Policy Committees of Senate; method of payment; taxability				
THE CONGRESS	SENATE LEADERSHIP	MAJORITY AND MINORITY SECRETARIES, CONFERENCES, AND POLICY COMMITTEES	Expense allowance for Chairmen of Majority and Minority Conference Committees of Senate; method of payment; taxability				
